類型(Types),先備關係(Prerequisite),名稱(Name)
先備關係(Prerequisite),"直觀認識正三角形、正方形和長方形特性
認識並辨別直角",正方形和長方形的特性及構成要素
先備關係(Prerequisite),"繪製直角
繪製指定公分的長度（基本型）",繪製正方形(已學會畫角)
先備關係(Prerequisite),"繪製直角
繪製指定公分的長度（基本型）",繪製長方形(已學會畫角)
先備關係(Prerequisite),無,觀察生活事物找規律
先備關係(Prerequisite),觀察生活事物找規律,藉由顏色或圖形變化找規律
先備關係(Prerequisite),觀察生活事物找規律,透過連續圖形的變化找規律
先備關係(Prerequisite),直觀分類平面圖形,辨認圓形
先備關係(Prerequisite),"認識圓心、圓周、半徑、直徑
測量整公分的長度（基本型）",使用圓規畫圓
先備關係(Prerequisite),辨認圓形,認識圓心、圓周、半徑、直徑
先備關係(Prerequisite),使用圓規畫圓,圓規其他應用
先備關係(Prerequisite),三位數加法(進位，但不進到千位),三位數加三位數（和在1000以上）
先備關係(Prerequisite),三位數減法(一次退位),三位數減三位數（2次退位和連續退位）
先備關係(Prerequisite),三位數減法(不退位),四位數減法(不退位)
先備關係(Prerequisite),"三位數減法(退位)
四位數減法(不退位)",四位數減法(退位)
先備關係(Prerequisite),三位數加法(不進位),四位數加法(不進位)
先備關係(Prerequisite),"四位數加法(不進位)
三位數加法(進位，但不進到千位)",四位數加法(進位)
先備關係(Prerequisite),三位數加法估算,四位數加法估算
先備關係(Prerequisite),三位數減法估算,四位數減法估算
先備關係(Prerequisite),十十乘法及應用,幾十乘以一位數
先備關係(Prerequisite),"幾十乘以一位數
十幾乘以一位數
十十乘法及應用",二位數乘以一位數（不進位）
先備關係(Prerequisite),二位數乘以一位數（不進位）,二位數乘以一位數（進位）
先備關係(Prerequisite),幾十乘以一位數,幾百乘以一位數
先備關係(Prerequisite),幾百乘以一位數,整數乘法估算（先取概數再算）
先備關係(Prerequisite),"幾百乘以一位數
二位數乘以一位數（不進位）",三位數乘以一位數（不進位）
先備關係(Prerequisite),"三位數乘以一位數（不進位）
二位數乘以一位數（進位）",三位數乘以一位數（進位）
先備關係(Prerequisite),"解決乘加兩步驟問題（不併式）
三位數乘以一位數（進位）
三位數加法(進位，但不進到千位)",解決乘加兩步驟問題（不併式，二、三位數）
先備關係(Prerequisite),"解決乘減兩步驟問題（不併式）
三位數乘以一位數（進位）
三位數減法(一次退位)",解決乘減兩步驟問題（不併式，二、三位數）
