Types,Prerequisite,Target
Prerequisite,"等高三角形的面積比
等底三角形的面積比",平行線截比例線段性質-AD：AB=AE：AC
Prerequisite,"等高三角形的面積比
等底三角形的面積比",平行線截比例線段性質-AB：DB=AC：EC
Prerequisite,"平行線截比例線段性質-AD：DB=AE：EC 
平行線截比例線段性質-AD：DB=DE：BC",三角形兩邊中點連線性質
Prerequisite,平行線截比例線段性質,線段的縮放性質
Prerequisite,同位角相等,角的縮放性質
Prerequisite,"線段的縮放性質
角的縮放性質",多邊形的縮放
Prerequisite,多邊形的縮放,正多邊形的縮放
Prerequisite,無,相似多邊形的對應角相等、對應邊長成比例
Prerequisite,相似多邊形的定義,相似多邊形的判別
Prerequisite,SSS全等性質的判別,SSS相似性質與判別
Prerequisite,SAS全等性質的判別,SAS相似性質與判別
Prerequisite,AAA不全等,AA相似性質與判別
Prerequisite,AA相似性質與判別,對應高的比=對應邊長的比
Prerequisite,比例式的運算性質,對應面積的比=對應邊長的平方比
Prerequisite,AA相似性質與判別,對應中線的比=對應邊長的比
Prerequisite,"SSS相似性質與判別
SAS相似性質與判別
AA相似性質與判別",相似三角形測量
Prerequisite,畢氏定理的應用,30°-60°-90°直角三角形的邊長比
Prerequisite,畢氏定理的應用,45°-45°-90°直角三角形的邊長比
Prerequisite,無,任意直角三角形的邊長比值
Prerequisite,任意直角三角形的邊長比值,直角三角形邊長比值的應用
Prerequisite,無,認識圓形
Prerequisite,無,求圓心角
Prerequisite,無,認識扇形
Prerequisite,無,圓心角與弧長
Prerequisite,無,扇形的周長
Prerequisite,無,扇形的面積
Prerequisite,無,認識弓形
Prerequisite,無,弓形的周長
Prerequisite,無,弓形的面積
Prerequisite,無,複合圖形的面積
Prerequisite,無,判斷點與圓的位置關係
Prerequisite,判斷點與圓的位置關係,由點與圓的位置關係求半徑
Prerequisite,無,判斷直線與圓的位置關係
Prerequisite,判斷直線與圓的位置關係,由直線與圓的位置關係求半徑
Prerequisite,由直線與圓的位置關係求半徑,圓心到切線距離=半徑
Prerequisite,垂直與平分,圓心與切點的連線垂直於此切線
Prerequisite,判斷直線與圓的位置關係,過圓上一點，與半徑垂直的直線為切線
Prerequisite,線對稱圖形的定義,過圓外一點的切線性質
Prerequisite,無,弦心距的定義
Prerequisite,線對稱圖形的定義,一弦的中垂線會通過圓心
Prerequisite,中垂線性質,一弦的弦心距垂直平分此弦
Prerequisite,利用畢氏定理求邊長,等弦<-->等弦心距
Prerequisite,利用畢氏定理求邊長,弦越長(短)<-->弦心距越短(長)
Prerequisite,畢氏定理的應用,弦心距的應用
Prerequisite,無,弧的度數=所對圓心角的度數
Prerequisite,圓心角與弧長,等弧<-->等圓心角
Prerequisite,"SSS全等性質的判別
SAS全等性質的判別",等弧<-->等弦<-->等弦心距
Prerequisite,無,圓周角的定義
Prerequisite,圓周角的定義,圓周角度數=1/2所對弧的度數
Prerequisite,圓周角的定義,同弧所對圓周角度數=1/2圓心角度數
Prerequisite,圓周角的定義,同弧所對圓周角度數均相等
Prerequisite,"圓周角的定義
內錯角相等",平行弦截等弧
Prerequisite,圓周角的定義,半圓所對的圓周角=90度
Prerequisite,無,圓內接四邊形與外接圓的定義
Prerequisite,圓周角的定義,圓內接四邊形性質-對角互補
Prerequisite,三角形的外角定理,圓內接四邊形判別性質
Prerequisite,"SSS全等性質
SAS全等性質
ASA全等性質
AAS全等性質
RHS全等性質",幾何證明-全等三角形的證明
Prerequisite,平行四邊形,幾何證明-平行四邊形的證明
Prerequisite,梯形,幾何證明-梯形的證明
Prerequisite,"SSS相似性質與判別
SAS相似性質與判別
AA相似性質與判別",幾何證明-相似三角形的證明
Prerequisite,圓形,幾何證明-圓形的證明
Prerequisite,無,幾何證明-作輔助線的證明
