標籤(Label),編號(ID),名稱(Name),學制(Education System),學科(Subject),是否為根結點(IsRoot),主題(Topic),次主題(Unit),概念(Concept),,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,完成和報讀統計表,國小(Elementary school),數學(Math),,資料與不確定性,x,做紀錄,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,資料分類整理，並記錄到表格,國小(Elementary school),數學(Math),,資料與不確定性,x,做紀錄,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識300以內的數,國小(Elementary school),數學(Math),,數,x,數到300,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識百位及位值單位換算,國小(Elementary school),數學(Math),,數,x,數到300,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,總共多少元（100元以上）,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,300以內的兩數大小比較,國小(Elementary school),數學(Math),,數,x,數到300,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加二位數（一次進位，個位進十位，和在200以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加二位數（二次進位，和在200以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加一位數（不進位，和在100以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加一位數（進位，和在200以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加二位數（一次進位，十位進百位，和在200以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,一位數加二位數（不進位，和在100以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,一位數加二位數（進位，和在200以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加二位數（不進位，和在100以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識＞、＜和＝,國小(Elementary school),數學(Math),,關係和代數,x,算式關係,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,判斷加減法時機（一、二次進位或一次退位）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加法估算,國小(Elementary school),數學(Math),,計算,x,加法估算（概算）,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,不同個別單位測量同物品長度，個別單位越長，其數量越少,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識1公分及幾個1公分就是幾公分,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,測量接近整公分的長度,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,測量整公分的長度（基本型）,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,測量整公分的長度（斷尺型）,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,測量整公分的長度（超過尺的長度）,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,長度在1公分以上的估測,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,公分的加法,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,公分的減法,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,繪製指定公分的長度（基本型）,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,繪製指定公分的長度（斷尺型）,國小(Elementary school),數學(Math),,量,x,公分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減一位數（不退位，被減數在99以內）,國小(Elementary school),數學(Math),,計算,x,二位數減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減一位數（退位，被減數在99以內）,國小(Elementary school),數學(Math),,計算,x,二位數減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減二位數（不退位，被減數在99以內）,國小(Elementary school),數學(Math),,計算,x,二位數減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減二位數（退位，被減數在99以內）,國小(Elementary school),數學(Math),,計算,x,二位數減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減法的驗算,國小(Elementary school),數學(Math),,關係和代數,x,算式關係,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,理解加減互逆關係及應用,國小(Elementary school),數學(Math),,關係和代數,x,算式關係,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,用線段圖輔助學生理解應用問題,國小(Elementary school),數學(Math),,關係和代數,x,算式關係,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,被加數未知,國小(Elementary school),數學(Math),,關係和代數,x,加減算式填充題,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,加數未知,國小(Elementary school),數學(Math),,關係和代數,x,加減算式填充題,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,被減數未知,國小(Elementary school),數學(Math),,關係和代數,x,加減算式填充題,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,減數未知,國小(Elementary school),數學(Math),,關係和代數,x,加減算式填充題,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,A比B少，就是B比A多,國小(Elementary school),數學(Math),,關係和代數,x,加減算式填充題,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減法估算,國小(Elementary school),數學(Math),,計算,x,減法估算（概算）,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識容器,國小(Elementary school),數學(Math),,量,x,認識容量,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識容量,國小(Elementary school),數學(Math),,量,x,認識容量,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,容量的直接比較,國小(Elementary school),數學(Math),,量,x,認識容量,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,容量的直觀比較,國小(Elementary school),數學(Math),,量,x,認識容量,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,容量的間接比較,國小(Elementary school),數學(Math),,量,x,認識容量,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,液量的保留性,國小(Elementary school),數學(Math),,量,x,認識容量,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,液量的直接比較,國小(Elementary school),數學(Math),,量,x,認識容量,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,解決連加兩步驟問題（不併式）,國小(Elementary school),數學(Math),,計算,x,整數兩步驟問題(不併式),,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,2的乘法及應用,國小(Elementary school),數學(Math),,計算,x,十十乘法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識乘法（認識被乘數、乘數和積）,國小(Elementary school),數學(Math),,計算,x,十十乘法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,解決連減兩步驟問題（不併式）,國小(Elementary school),數學(Math),,計算,x,整數兩步驟問題(不併式),,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,5的乘法及應用,國小(Elementary school),數學(Math),,計算,x,十十乘法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,解決加減混合兩步驟問題（不併式）,國小(Elementary school),數學(Math),,計算,x,整數兩步驟問題(不併式),,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,4的乘法及應用,國小(Elementary school),數學(Math),,計算,x,十十乘法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,8的乘法及應用,國小(Elementary school),數學(Math),,計算,x,十十乘法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,一位數的連加,國小(Elementary school),數學(Math),,計算,x,一位數加減混合,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,2、5、4、8的乘法綜合應用問題,國小(Elementary school),數學(Math),,計算,x,十十乘法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,報讀幾點幾分,國小(Elementary school),數學(Math),,量,x,幾點幾分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,大約幾點鐘,國小(Elementary school),數學(Math),,量,x,幾點幾分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,報讀幾點幾分（5分鐘一數）,國小(Elementary school),數學(Math),,量,x,幾點幾分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,報讀幾點幾分（1分鐘一數）,國小(Elementary school),數學(Math),,量,x,幾點幾分,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,點數經過的N小時時間（整點鐘）,國小(Elementary school),數學(Math),,量,x,幾點幾分,,,,,,,,,,,,,,,,,
